"id";"nev";"klan";"nem";"suly";"magassag"
1;"Terrin Sak";"Kova";"F";62;130
2;"Bal Eraffa";"Vasököl";"N";45;129
3;"Sarsi Duri";"Vasököl";"F";59;141
4;"Dorf Gein";"Csille";"F";62;138
5;"Bombur Nori";"Kova";"N";48;132
6;"Dorf Loopa";"Csille";"F";63;140
7;"Trad Magraimn";"Acél";"F";67;138
8;"Tardi Falgorran";"Csille";"F";65;140
9;"Lok Dun";"Acél";"F";70;142
10;"Sarrof Hro";"Kova";"F";65;137
11;"Gor Morf";"Csille";"F";58;135
12;"Heimal Morf";"Vasököl";"F";61;144
13;"Odi Duri";"Kova";"F";64;145
14;"Hardi Oggi";"Vasököl";"F";64;137
15;"Bal Rian";"Acél";"N";48;134
16;"Tor Edda";"Vasököl";"F";61;135
17;"Forf Orsan";"Csille";"N";50;140
18;"Krof Erag";"Vasököl";"N";45;145
19;"Azul Luer";"Vasököl";"N";43;141
20;"Forf Sak";"Acél";"F";60;146
21;"Krof Glueggi";"Kova";"F";62;135
22;"Tor Zian";"Vasököl";"N";51;138
23;"Darrin Surroc";"Acél";"N";48;139
24;"Nallid Grai";"Vasököl";"F";58;138
25;"Lok Gran";"Acél";"F";67;140
26;"Sarraain Sugran";"Kova";"F";66;138
27;"Dorrin Dars";"Csille";"F";68;144
28;"Nallid Fars";"Vasököl";"F";71;143
29;"Dor Gerri";"Kova";"F";69;138
30;"Darrin Rudga";"Acél";"F";90;140
